strip,number,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
3,3-2,blood,5092,2653,3471,3748,2918,10064,87.948,94.966,73.936,17.989,21.795,11.657,80,0.2222,0.2234,94
3,3-2,pH,5336,3333,6005,5587,4830,16211,94.459,87.884,75.976,21.505,17.956,12.478,37.89,0.1053,0.2021,94
3,3-2,protein,3824,2166,3281,3027,2112,8364,100.03,92.287,64.39,24.818,20.29,8.251,46.67,0.1296,0.36,100
3,3-2,glucose,5034,2995,5336,4923,4157,14155,96.127,88.687,74.888,22.467,18.369,12.036,38.18,0.1061,0.2292,96
3,3-2,ketone,4133,1076,3704,2577,2443,8583,110.045,76.562,72.581,31.504,12.72,11.13,6.32,0.0175,0.3455,110
4,4-2,white,5761,3835,7394,6780,6101,20166,93.497,85.733,77.147,20.962,16.878,12.964,30,0.0833,0.172,93
4,4-2,blood,6260,1446,1264,1847,1446,4562,70.653,103.241,80.826,10.406,26.858,14.565,138.18,0.3838,0.3204,103
4,4-2,pH,5800,2394,3914,3891,3383,10982,90.882,90.348,78.553,19.527,19.242,13.563,60,0.1667,0.1333,90
4,4-2,protein,5499,3539,6350,5960,5200,17254,93.848,88.084,76.852,21.159,18.058,12.84,42.35,0.1176,0.1828,93
4,4-2,glucose,4093,2087,3472,3133,2364,8868,99.838,90.09,67.977,24.699,19.104,9.448,43.12,0.1198,0.3232,99
4,4-2,ketone,5396,2760,6035,5166,4692,15510,99.221,84.934,77.141,24.319,16.487,12.961,19.09,0.053,0.2222,99
5,5-2,white,5629,3419,6649,6043,5411,18120,93.57,85.042,76.148,21.003,16.54,12.548,31.76,0.0882,0.1828,93
5,5-2,blood,4601,3887,7040,6308,5169,18325,97.965,87.778,71.929,23.557,17.902,10.882,36.92,0.1026,0.268,97
5,5-2,pH,11000,1029,1556,1843,1877,5243,75.678,89.637,91.29,12.356,18.865,19.747,187.5,0.5208,0.1758,91
5,5-2,protein,5463,2705,4348,4298,3643,12057,91.958,90.901,77.048,20.11,19.537,12.922,55.71,0.1548,0.1538,91
5,5-2,glucose,2297,555,1785,1109,841,3606,126.227,78.423,59.472,44.394,13.507,6.764,17.01,0.0473,0.5317,126
5,5-2,ketone,4871,1405,3633,2854,2623,8725,106.179,83.412,76.661,28.81,15.758,12.761,14,0.0389,0.283,106
6,6-2,white,4799,2461,4898,4255,3640,12801,97.57,84.761,72.51,23.32,16.403,11.103,28.8,0.08,0.2577,97
6,6-2,blood,4097,3352,5499,4994,3750,14150,99.099,89.998,67.58,24.244,19.055,9.311,41.25,0.1146,0.3232,99
6,6-2,protein,6135,1939,2733,2976,2555,8108,85.954,93.596,80.356,16.987,21.018,14.354,96.92,0.2692,0.1398,93
6,6-2,glucose,5207,2947,5900,5206,4582,15345,98.045,86.512,76.143,23.605,17.264,12.546,27.27,0.0758,0.2245,98
1,1-3,white,6228,1577,2923,2776,2534,8175,91.176,86.591,79.042,19.685,17.303,13.775,35,0.0972,0.1319,91
1,1-3,blood,3535,1316,2252,1923,1349,5483,104.735,89.434,62.738,27.84,18.758,7.732,38.57,0.1071,0.4038,104
1,1-3,pH,4916,1304,2676,2307,2006,6907,98.795,85.172,74.06,24.059,16.603,11.706,27.5,0.0764,0.2449,98
1,1-3,protein,3292,973,1644,1379,915,3905,107.355,90.05,59.75,29.614,19.083,6.844,38.75,0.1076,0.4486,107
1,1-3,glucose,7750,1168,1953,2043,1943,5855,85.058,88.978,84.623,16.547,18.52,16.336,105,0.2917,0.0455,88
1,1-3,ketone,5362,864,1608,1476,1288,4334,94.61,86.844,75.782,21.591,17.429,12.398,34.74,0.0965,0.2021,94
2,2-3,white,5718,3447,6657,6090,5470,18175,93.399,85.444,76.746,20.907,16.736,12.796,31.76,0.0882,0.1828,93
